City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pisco,-13.7,-76.2167,22.79,85,100,0.86,PE,1709010522
83,utrik,11.2278,169.8474,26.96,80,21,7.74,MH,1709010522
84,birjand,32.8663,59.2211,2.0,99,99,1.75,IR,1709010523
85,isafjordur,66.0755,-23.124,0.21,97,100,1.49,IS,1709010523
86,bilibino,68.0546,166.4372,-33.76,100,97,0.79,RU,1709010523
87,tazovsky,67.4667,78.7,-6.3,95,100,4.31,RU,1709010524
88,puerto natales,-51.7236,-72.4875,10.73,89,87,0.59,CL,1709010524
89,galveston,29.3669,-94.9669,21.77,90,78,2.68,US,1709010524
90,udachny,66.4167,112.4,-14.75,50,53,4.4,RU,1709010525
91,tiksi,71.6872,128.8694,-18.14,75,100,15.58,RU,1709010525
92,happy valley-goose bay,53.3168,-60.3315,-4.83,86,100,3.09,CA,1709010525
93,sierra grande,-41.606,-65.3557,17.41,84,40,4.79,AR,1709010525
94,thompson,55.7435,-97.8558,-28.7,97,84,2.26,CA,1709010526
95,leshan,29.5623,103.7639,12.04,47,82,1.06,CN,1709010526
96,iskateley,67.6803,53.1512,-1.1,94,100,7.6,RU,1709010526
97,puerto baquerizo moreno,-0.9,-89.6,26.21,77,21,5.39,EC,1709010527
98,bardai,11.65,7.2333,21.68,11,42,3.39,NG,1709010527
99,wailua homesteads,22.0669,-159.378,22.24,77,40,9.26,US,1709010527
100,ta`u,-14.2336,-169.5144,29.04,74,99,6.08,AS,1709010528
101,queenstown,-31.8976,26.8753,10.84,70,84,1.9,ZA,1709010515
102,tonghae,37.5439,129.1069,4.31,59,100,2.37,KR,1709010528
103,papao,-17.75,-149.55,28.82,78,53,4.89,PF,1709010529
104,kristiansund,63.1115,7.732,1.36,69,100,3.09,NO,1709010529
105,ribeira grande,38.5167,-28.7,15.99,73,5,3.13,PT,1709010529
106,yalta,44.5,34.1667,7.12,57,93,4.98,UA,1709010530
107,stephenville,32.2207,-98.2023,23.42,48,99,7.65,US,1709010530
108,misratah,32.3754,15.0925,14.97,40,99,6.18,LY,1709010531
109,farafangana,-22.8167,47.8333,26.27,87,51,3.31,MG,1709010531
110,goya,-29.14,-59.2626,23.21,96,98,1.24,AR,1709010531
111,maun,-19.9833,23.4167,20.55,88,88,0.91,BW,1709010532
112,prince george,53.9166,-122.753,-17.64,73,0,4.12,CA,1709010533
113,ludwigsfelde,52.3,13.2667,6.72,82,0,3.09,DE,1709010533
114,azemmour,33.2895,-8.3425,14.12,60,80,6.87,MA,1709010533
115,bandarbeyla,9.4942,50.8122,26.05,64,98,4.42,SO,1709010534
116,hermanus,-34.4187,19.2345,17.67,75,0,8.17,ZA,1709010534
117,almeirim,-1.5233,-52.5817,23.24,96,100,0.45,BR,1709010534
118,baise city,23.8997,106.6133,13.52,99,100,1.28,CN,1709010535
119,remire-montjoly,4.9167,-52.2667,23.02,94,100,0.0,GF,1709010535
120,grand falls-windsor,48.9332,-55.6649,-6.94,84,78,3.3,CA,1709010535
121,port sudan,19.6175,37.2164,21.64,56,4,2.93,SD,1709010536
122,katpur,21.05,71.7833,28.21,32,4,3.0,IN,1709010536
123,westport,41.1415,-73.3579,6.68,89,0,0.0,US,1709010536
124,la'ie,21.6477,-157.9253,22.98,75,17,5.81,US,1709010536
125,aliquippa,40.6367,-80.2401,12.1,70,75,2.06,US,1709010537
126,san jose del guaviare,2.5729,-72.6459,24.22,72,93,1.48,CO,1709010537
127,saipan,15.1355,145.701,29.39,58,0,4.63,MP,1709010537
128,san luis de la loma,17.2706,-100.8939,23.68,83,0,1.94,MX,1709010538
129,qui nhon,13.7667,109.2333,25.77,80,98,5.17,VN,1709010538
130,zvezdnyy,57.7325,56.3147,-9.67,73,100,4.57,RU,1709010538
131,blackmans bay,-43.0167,147.3167,22.51,53,37,3.63,AU,1709010539
132,malacca,2.196,102.2405,32.24,64,42,1.34,MY,1709010539
133,san bernardo del viento,9.3533,-75.9524,26.77,79,61,6.83,CO,1709010539
134,georgetown,5.4112,100.3354,34.41,46,20,4.63,MY,1709010540
135,morondava,-20.2833,44.2833,27.69,77,100,3.4,MG,1709010540
136,al buraymi,24.2509,55.7931,18.03,65,0,3.63,OM,1709010540
137,huambo,-12.7761,15.7392,14.95,93,81,0.35,AO,1709010541
138,ouallam,14.3188,2.0866,24.19,13,5,4.67,NE,1709010541
139,praia da vitoria,38.7333,-27.0667,15.42,77,75,4.36,PT,1709010541
140,damasak,13.0977,12.4952,23.83,19,35,3.78,NG,1709010542
141,polovinnoye,54.7914,65.9864,-7.95,86,100,3.24,RU,1709010542
142,enewetak,11.3474,162.3373,27.28,77,78,5.35,MH,1709010542
143,tari,12.4086,4.4914,24.19,11,55,4.44,NG,1709010543
144,mastung,29.7994,66.845,5.64,92,99,0.85,PK,1709010543
145,antsiranana,-12.2787,49.2917,27.06,80,100,0.64,MG,1709010542
146,miles city,46.4083,-105.8406,-10.46,85,100,7.2,US,1709010544
147,rocky mountain house,52.3668,-114.9188,-18.88,95,100,2.05,CA,1709010544
148,souillac,-20.5167,57.5167,29.64,76,21,7.24,MU,1709010545
149,galanta,48.19,17.7275,7.27,94,100,3.93,SK,1709010545
150,la passe,45.5549,-0.8967,7.13,89,100,9.99,FR,1709010546
151,saint-jean-de-monts,46.7833,-2.0667,6.5,78,80,12.25,FR,1709010546
152,priozersk,61.0393,30.1291,3.38,87,100,2.5,RU,1709010547
153,longyearbyen,78.2186,15.6401,-9.09,79,75,0.0,SJ,1709010547
154,yung shue wan,22.2333,114.1167,19.06,72,100,0.89,HK,1709010548
155,whitehorse,60.7161,-135.0538,-21.06,99,82,2.52,CA,1709010548
